trajectory_id,frame,full_instruction_ref,current_step_index,current_step_text,transition_event,full_condition,current_condition,hold_condition,steps_since_transition,cumulative_transition_count
coffee_table/case515,0,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,Pick up the frypan from the coffee table.,0,0
coffee_table/case515,1,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],1,0
coffee_table/case515,2,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],2,0
coffee_table/case515,3,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],3,0
coffee_table/case515,4,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],4,0
coffee_table/case515,5,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],5,0
coffee_table/case515,6,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],6,0
coffee_table/case515,7,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],7,0
coffee_table/case515,8,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],8,0
coffee_table/case515,9,coffee_table/case515,0,Pick up the frypan from the coffee table.,0,"Set up a cooking and preparation station to heat milk in a frypan on a stove and create a dessert-drink blend by mixing chocolate pudding, orange juice, and wine in a black bowl before transferring it to a basket.",Pick up the frypan from the coffee table.,[HOLD],9,0
