trajectory_id,frame,full_instruction_ref,current_step_index,current_step_text,transition_event,full_condition,current_condition,hold_condition,steps_since_transition,cumulative_transition_count
coffee_table/case282,0,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,open the wooden cabinet top region,0,0
coffee_table/case282,1,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],1,0
coffee_table/case282,2,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],2,0
coffee_table/case282,3,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],3,0
coffee_table/case282,4,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],4,0
coffee_table/case282,5,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],5,0
coffee_table/case282,6,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],6,0
coffee_table/case282,7,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],7,0
coffee_table/case282,8,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],8,0
coffee_table/case282,9,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],9,0
coffee_table/case282,10,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],10,0
coffee_table/case282,11,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],11,0
coffee_table/case282,12,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],12,0
coffee_table/case282,13,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],13,0
coffee_table/case282,14,coffee_table/case282,0,open the wooden cabinet top region,0,"Organize a culinary scene by relocating items, including chocolate pudding, mugs, a frypan, and a wine bottle between a wooden cabinet, coffee table, and microwave.",open the wooden cabinet top region,[HOLD],14,0
